category,scenario_family,run_path,evaluated_graph_recorded,run_timestamp,evaluation_id,period,version,version_candidate,version_basis,episodes,success_flags,success_rate,lift_event_episodes,progress_complete_episodes,success_and_lift,success_given_lift,success_without_lift,success_progress_incomplete,failure_progress_complete,reported_object_moved_rate,moved_count_derived_from_aggregate,median_episode_steps_all,median_episode_steps_success_flags,median_episode_steps_progress_complete,median_first_lift_event_step,median_first_destination_event_step_among_success_flags,seeds,observed_env_ids,historical_checkpoint_pinned,checkpoint,actual_executed_chunk_verified,current_config_or_context_chunk,graph_node_found,graph_environment_links
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/2026-09-01_02-03-32,droid_apple_to_wooden_bowl,2026-09-01_02-03-32,eval_run_1788228443,historical,,1,creation-time chronology only; not proven runtime config,2,1,0.5,2,1,1,0.5,0,0,0,1.0,2,602.0,903,903,514.0,903,[42],[0],False,,,,True,[]
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/2026-09-01_02-06-55,droid_apple_to_wooden_bowl,2026-09-01_02-06-55,eval_run_1788228778,historical,1,,lineage.json versions[].evaluation.eval_dir exact link,2,0,0.0,2,0,0,0.0,0,0,0,1.0,2,830.0,,,215.5,,[42],[0],False,,,32,True,[]
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/2026-09-01_02-13-59,droid_apple_to_wooden_bowl,2026-09-01_02-13-59,eval_run_1788229172,historical,,2,creation-time chronology only; not proven runtime config,2,0,0.0,2,0,0,0.0,0,0,0,0.5,1,1000.0,,,716.5,,[42],[0],False,,,,True,[]
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/2026-09-01_02-21-10,droid_apple_to_wooden_bowl,2026-09-01_02-21-10,eval_run_1788229990,historical,,2,creation-time chronology only; not proven runtime config,8,0,0.0,7,0,0,0.0,0,0,0,0.875,7,1000.0,,,501,,[42],"[0, 1, 2, 3]",False,,,,True,[]
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/2026-09-01_02-22-23,droid_apple_to_wooden_bowl,2026-09-01_02-22-23,eval_run_1788230454,historical,2,,lineage.json versions[].evaluation.eval_dir exact link,65,8,0.12307692307692308,56,4,4,0.07142857142857142,4,4,0,0.7692307692307693,50,1000,694.0,632.5,407.0,632.5,[42],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",False,,,32,True,[]
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/2026-09-01_04-04-44,droid_apple_to_wooden_bowl,2026-09-01_04-04-44,eval_run_1788236009,historical,,3,creation-time chronology only; not proven runtime config,16,1,0.0625,16,1,1,0.0625,0,0,0,1.0,16,1000.0,860,860,241.5,860,[42],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",False,,,,True,[]
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/2026-09-01_04-15-41,droid_apple_to_wooden_bowl,2026-09-01_04-15-41,eval_run_1788236501,historical,3,,lineage.json versions[].evaluation.eval_dir exact link,2,0,0.0,2,0,0,0.0,0,0,0,1.0,2,1000.0,,,343.5,,[42],[0],False,,,16,True,[]
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/viz_run/2026-09-09_03-35-53,,2026-09-09_03-35-53,,current_empty_attempt,,,unknown; scene-named output directory only,0,0,,0,0,0,,0,0,0,,,,,,,,[],[],False,,,,False,
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/viz_run/2026-09-09_04-32-36,,2026-09-09_04-32-36,,current_empty_attempt,,,unknown; scene-named output directory only,0,0,,0,0,0,,0,0,0,,,,,,,,[],[],False,,,,False,
A,droid_apple_to_wooden_bowl,eval_output/droid_apple_to_wooden_bowl/viz_run/2026-09-09_04-37-42,droid_apple_to_wooden_bowl,2026-09-09_04-37-42,eval_run_1788928970,current_verified_run,3,,current session verified receipt and latest->v3,2,0,0.0,2,0,0,0.0,0,0,0,1.0,2,1000.0,,,570.0,,[42],[0],True,nvidia/GR00T-N1.6-DROID,16,16,True,[]
B,debug_run,eval_output/debug_run/2026-08-30_16-29-38,droid_pick_mustard_to_bin,2026-08-30_16-29-38,eval_run_1788107386,historical,,,unversioned_graph_name,0,0,,0,0,0,,0,0,0,,,,,,,,[],[],False,,,,True,"[""droid_pick_mustard_to_bin""]"
B,droid_mustard_test,eval_output/droid_mustard_test/2026-08-29_21-47-18,droid_pick_mustard_to_bin,2026-08-29_21-47-18,eval_run_1788040065,historical,,,unversioned_graph_name,0,0,,0,0,0,,0,0,0,,,,,,,,[],[],False,,,,True,"[""droid_pick_mustard_to_bin""]"
B,droid_spam_can_to_grey_bin,eval_output/droid_spam_can_to_grey_bin/2026-09-01_19-09-49,droid_spam_can_to_grey_bin,2026-09-01_19-09-49,eval_run_1788290861,historical,1,,generation_window_and_v2_diagnostic_N70,70,18,0.2571428571428571,68,2,18,0.2647058823529412,0,16,0,0.9428571428571428,66,1000.0,413.0,496.0,173.0,413.0,[42],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",False,,,16,True,[]
B,droid_spam_can_to_grey_bin,eval_output/droid_spam_can_to_grey_bin/2026-09-01_19-29-40,droid_spam_can_to_grey_bin,2026-09-01_19-29-40,eval_run_1788292259,historical,2,,explicit_lineage_eval_dir,67,13,0.19402985074626866,49,3,13,0.2653061224489796,0,10,0,0.5970149253731343,40,1000,434,699,284,421,[42],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",False,,,8,True,[]
B,droid_spam_can_to_grey_bin,eval_output/droid_spam_can_to_grey_bin/2026-09-01_19-53-15,droid_spam_can_to_grey_bin,2026-09-01_19-53-15,eval_run_1788292607,historical,1,,explicit_lineage_eval_dir,2,0,0.0,1,0,0,0.0,0,0,0,0.5,1,1000.0,,,159,,[42],[0],False,,,16,True,[]
B,droid_tomato_soup_to_blue_bin,eval_output/droid_tomato_soup_to_blue_bin/2026-09-01_04-42-35,droid_tomato_soup_to_blue_bin,2026-09-01_04-42-35,eval_run_1788238238,historical,1,,inferred_generation_window,20,1,0.05,17,1,1,0.058823529411764705,0,1,1,0.95,19,1000.0,392,1000,120,392,[42],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",False,,,16,True,[]
B,droid_tomato_soup_to_blue_bin,eval_output/droid_tomato_soup_to_blue_bin/2026-09-01_04-52-54,droid_tomato_soup_to_blue_bin,2026-09-01_04-52-54,eval_run_1788238722,historical,1,,explicit_lineage_eval_dir,2,0,0.0,2,0,0,0.0,0,0,0,1.0,2,1000.0,,,254.0,,[42],[0],False,,,16,True,[]
B,droid_tomato_soup_to_blue_bin,eval_output/droid_tomato_soup_to_blue_bin/2026-09-01_16-14-46,droid_tomato_soup_to_blue_bin,2026-09-01_16-14-46,eval_run_1788279490,historical,2,,inferred_generation_window,1,1,1.0,1,0,1,1.0,0,1,0,1.0,1,455,455,,365,455,[42],[0],False,,,16,True,[]
B,droid_tomato_soup_to_blue_bin,eval_output/droid_tomato_soup_to_blue_bin/2026-09-01_16-34-46,droid_tomato_soup_to_blue_bin,2026-09-01_16-34-46,eval_run_1788281565,historical,2,,explicit_lineage_eval_dir,50,23,0.46,47,6,22,0.46808510638297873,1,18,1,0.98,49,639.0,401,315.0,143,369.0,[42],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",False,,,16,True,[]
B,droid_tomato_soup_to_blue_bin,eval_output/droid_tomato_soup_to_blue_bin/2026-09-01_17-27-51,droid_tomato_soup_to_blue_bin,2026-09-01_17-27-51,eval_run_1788284877,historical,3,,generation_window_and_v4_diagnostic_N52_and_session_note,52,25,0.4807692307692308,44,11,23,0.5227272727272727,2,15,1,0.9807692307692307,51,630.0,264,264,142.0,226,[42],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",False,,,16,True,[]
B,droid_tomato_soup_to_blue_bin,eval_output/droid_tomato_soup_to_blue_bin/2026-09-01_18-23-40,droid_tomato_soup_to_blue_bin,2026-09-01_18-23-40,eval_run_1788287246,historical,3,,explicit_lineage_eval_dir,1,0,0.0,1,0,0,0.0,0,0,0,1.0,1,877,,,157,,[42],[0],False,,,16,True,[]
